id,name,age,work,birthday,salary
string,string,string,string,string,int
0,ogmoju,40,AdministrativeDirector,1984/9/18,14839
1,dchp,23,AccountsReceivableClerk,2001/11/23,18573
2,axlrskdl,41,ApplicationsProgrammer,1983/12/13,10791
3,ixcx,24,DevelopmentalEngineer,2000/9/10,5603
4,rgxy,26,TrainingManager,1998/2/3,6296
5,mxewe,22,RetailBuyer,2002/3/12,16237
6,italskb,40,VPSales,1984/6/13,16183
7,wmbfa,41,FinancialManager,1983/10/2,19248
8,mymho,22,MerchandisingManager,2002/3/26,6668
9,gjjbbw,32,Secretary,1992/6/27,15731
10,znqncdm,38,SystemsProgrammer,1986/11/19,12443
11,yokxocr,37,BillingClerk,1987/1/1,14346
12,zbkfyvf,36,MarketingIntern,1988/4/29,9363
13,brdclarp,44,AuditManager,1980/6/25,18580
14,ybjqnegix,37,OfficeManager,1987/12/3,13171
15,fvrmymy,44,ApplicationsProgrammer,1980/10/8,18179
16,ncylojmgo,44,Compensation&BenefitManager,1980/2/14,8347
17,blxdu,27,AdvertisingCoordinator,1997/11/22,14491
18,phbcbai,40,ProductionManager,1984/9/1,6233
19,rsgvvlgrc,34,MerchandisingManager,1990/5/15,15914
20,hfiqwk,40,ProductSupportManager,1984/11/17,7793
21,xkzzz,39,MarketingDirector,1985/2/1,15678
22,wkmkn,32,ApplicationsProgrammer,1992/5/25,11296
23,uvakev,25,MISManager,1999/1/25,5686
24,hwny,27,SeniorAccountant,1997/2/28,15138
25,iynulz,39,BudgetAnalyst,1985/8/1,10119
26,jjbit,26,MarketingManager,1998/2/17,9242
27,uqhumbn,32,BookkeepingClerk,1992/8/1,15013
28,bmiwlzvqc,25,ManagementAccountant,1999/3/14,7737
29,wwnlbumq,22,AdvertisingAssistant,2002/12/19,17346
30,ifhundi,42,FinancialPlanner,1982/11/27,6360
31,mczvdbtsu,29,CertifiedPublicAccountant,1995/10/31,11849
32,uuyhbghzw,40,MarketingDirector,1984/8/22,13316
33,hraaoj,30,TransportationManager,1994/3/8,7656
34,jzppuzn,27,RetailBuyer,1997/9/25,7188
35,dafm,29,Vice-PresidentofAdministration,1995/9/4,12941
36,rlzd,39,SystemsAnalyst,1985/1/27,13339
37,ybrs,43,VPSales,1981/7/23,8822
38,xohnx,26,SystemsEngineer,1998/5/10,15392
39,lqkc,27,ProjectManager,1997/2/27,16800
40,jjekbfv,29,Receptionist,1995/1/5,6354
41,nyxcnowme,43,AccountingClerk,1981/3/11,15248
42,gzpsq,34,ChiefFinancialOfficer,1990/2/18,19294
43,wnlahnd,35,ActuarialAnalyst,1989/8/20,13949
44,paxqv,31,BillingClerk,1993/1/1,16768
45,qbpaeezh,38,BookkeepingClerk,1986/12/5,13887
46,vswevexik,37,AccountManager,1987/11/4,15368
47,sfviaz,42,ManagementAccountant,1982/2/21,17867
48,qlvmnlkzz,28,JuniorAccountant,1996/10/29,13015
49,nqdrswip,28,SalesExecutive,1996/10/15,6036
50,ogvlur,30,BranchManager,1994/6/18,5204
51,jwzkp,38,JuniorAccountant,1986/3/23,10481
52,wuzskr,29,OfficeManager,1995/7/17,7616
53,prtank,30,AccountsReceivableClerk,1994/6/13,16558
54,ekifqzubw,39,BookkeepingClerk,1985/8/10,18487
55,bkvqqch,26,DirectorofInformationServices,1998/7/3,7248
56,nseomqb,24,FinancialConsultant,2000/10/23,9044
57,epqdn,41,AuditManager,1983/3/31,17288
58,cbjtjw,43,HardwareEngineer,1981/7/20,15321
59,rdnws,28,GeneralOfficeClerk,1996/1/3,8180
60,chgr,35,AssistantVPHR,1989/5/28,6463
61,yjxkrp,37,AssistantAccountExecutive,1987/1/26,14372
62,bjoism,39,SeniorAccountManager,1985/11/28,5595
63,jlzvtm,40,FinancialPlanner,1984/7/13,9826
64,srbkekns,34,FinancialAnalyst,1990/12/24,10662
65,trqh,34,LoanAdministrator,1990/5/10,10708
66,kgdrgw,41,TelemarketingDirector,1983/3/9,12561
67,nujek,25,SeniorAccountManager,1999/11/12,15327
68,shqog,37,PurchasingAgent,1987/2/5,7799
69,tknl,38,SalesAssistant,1986/10/15,11540
70,jcivbqgla,29,TrainingCoordinator,1995/1/18,13258
71,baskn,43,RegionalManager,1981/8/2,13870
72,holcvm,39,AdvertisingAssistant,1985/10/21,18056
73,pins,41,AdministrativeDirector,1983/4/3,6333
74,zfhlohkl,34,FinancialManager,1990/3/28,14331
75,zyvnrigmf,28,Typist,1996/5/25,7488
76,ceqg,41,BillingClerk,1983/2/12,9539
77,cebhomr,30,Auditor,1994/11/16,14439
78,hpigorvry,24,AdvertisingAssistant,2000/11/21,5039
79,mrkwyec,26,Operator,1998/2/5,19602
80,kidb,41,Vice-PresidentofAdministration,1983/10/6,7837
81,wkbeoq,41,AccountingPayableClerk,1983/9/17,14449
82,ssmlblld,27,AdministrativeDirector,1997/10/24,17308
83,danzgc,27,ComputerOperator,1997/7/31,19948
84,dtqcvtf,38,AccountsReceivableClerk,1986/9/25,13713
85,rgabimm,31,OperationsAnalyst,1993/3/19,5465
86,kytnz,34,PurchasingAgent,1990/7/13,5550
87,qdssbtlne,30,Telemarketer,1994/5/27,17476
88,gziedvbud,40,ExecutiveMarketingDirector,1984/3/20,13960
89,jaotr,36,ActuarialAnalyst,1988/12/19,6340
90,eusfrsya,41,FileClerk,1983/5/10,14090
91,eqzxt,42,VPMarketing,1982/9/30,6995
92,hfeshxy,28,DirectorofInformationServices,1996/6/29,16764
93,ejilka,40,GeneralManager,1984/5/26,12870
94,tvcdpa,28,RegionalManager,1996/9/19,9086
95,xgvuxt,43,VPSales,1981/8/21,6665
96,wrdhkmd,28,VPSales,1996/12/8,17135
97,tadd,33,FinancialManager,1991/4/16,6316
98,bfjkkwxds,38,BranchManager,1986/2/25,5827
99,tvyq,25,PurchasingAgent,1999/5/18,13628
100,clfjrevhe,25,HRSupervisor(Training),1999/1/15,14594
101,inaa,38,Vice-PresidentofFinance,1986/12/15,10977
102,xwhnuviy,23,TaxAccountant,2001/10/9,7800
103,zgpgjkvv,33,ProjectManager,1991/10/3,19924
104,tidvp,41,SalesAssistant,1983/3/19,13056
105,wmvpx,31,FinancialConsultant,1993/1/25,6867
106,ffnxy,31,OfficeManager,1993/2/6,14360
107,jicsfbkm,44,CreditManager,1980/4/29,16140
108,rrcqgyfe,21,FinancialManager,2003/5/21,9263
109,patigm,30,Operator,1994/12/29,14236
110,tbhyfrwfw,28,VPSales,1996/2/22,16596
111,uxyzei,24,DirectorofInformationServices,2000/6/19,12232
112,zjgq,24,LoanAdministrator,2000/3/15,5500
113,ivpjcromb,35,SeniorAccountManager,1989/7/8,19574
114,szpbdw,22,Compensation&BenefitManager,2002/11/30,18492
115,wisou,27,President,1997/4/6,10291
116,imvm,38,AssistantAccountExecutive,1986/12/5,8481
117,epptysvmz,31,BookkeepingClerk,1993/8/28,16908
118,hzwqdzh,41,TaxAccountant,1983/12/24,6324
119,rqrgyyu,25,AccountingAssistant,1999/3/19,16080
120,bsqlhrpf,34,Manufacturer’sRepresentative,1990/9/30,16242
121,onrn,38,AdministrationAssistant,1986/6/25,15596
122,gcmqpduo,26,SalesManager,1998/4/30,16316
123,kujehzgna,34,MarketingIntern,1990/11/1,11963
124,nboqh,22,RegionalManager,2002/6/2,5869
125,gxptl,26,AccountRepresentative,1998/10/29,10486
126,zurbhovw,25,CreditAnalyst,1999/10/25,19225
127,yzxprlzj,34,OperationsAnalyst,1990/5/25,18917
128,ylwmz,26,FinancialConsultant,1998/10/9,15452
129,qfbvmbhub,27,ProductionManager,1997/12/16,18966
130,elcuzfl,43,CollectionsOfficer,1981/8/12,11037
131,aypkg,30,MerchandisingManager,1994/6/28,9542
132,duqffmy,41,AccountRepresentative,1983/3/16,8142
133,xdestasa,24,TrainingSpecialist,2000/6/12,15959
134,qhfjy,24,AccountingClerk,2000/12/19,8052
135,jzonyp,41,MISManager,1983/10/2,6044
136,ztbdroy,27,ActuarialAnalyst,1997/1/6,17305
137,pcavmo,29,RegionalSalesManager,1995/7/5,6677
138,lbxh,41,HRDirector,1983/12/29,9449
139,ubhzv,31,Operator,1993/3/11,18725
140,pxklsmymv,21,SeniorAccountant,2003/6/14,15930
141,rybi,39,AdvertisingManager,1985/4/18,12626
142,xallevj,38,SystemsEngineer,1986/9/2,16125
143,gswxwka,40,Vice-PresidentofFinance,1984/11/22,6609
144,jvxc,25,OperationsAnalyst,1999/2/8,18626
145,rbuwunajo,27,AdvertisingManager,1997/5/28,8846
146,vgwpgm,24,MISManager,2000/7/27,16782
147,edzookff,36,ComputerOperationsSupervisor,1988/7/13,18397
148,vnpuaac,38,RegionalManager,1986/7/8,12797
149,abvvtpz,36,AssistantVPHR,1988/4/8,14800
150,quhya,44,HardwareEngineer,1980/5/13,8875
151,zeje,39,BillingSupervisor,1985/5/26,17392
152,sahdoqni,30,AdvertisingAssistant,1994/10/15,6525
153,oqwsocjd,44,TrainingSpecialist,1980/7/25,12460
154,frebjitvz,28,SystemsEngineer,1996/6/3,12434
155,lkdcmd,32,ComputerOperator,1992/9/1,9478
156,ypnyl,42,ComputerOperator,1982/4/20,12811
157,hgze,37,MarketingandSalesDirector,1987/6/21,6645
158,iwjxzwv,24,FileClerk,2000/6/24,13230
159,uqsin,38,TelemarketingDirector,1986/2/23,12138
160,cvubseph,23,Telemarketer,2001/1/19,6121
161,sdamy,27,TaxAccountant,1997/12/2,19988
162,ogmwtyey,23,MarketingConsultant,2001/10/28,10010
163,ukovbpb,30,FinancialManager,1994/8/9,17565
164,crjv,30,ExecutiveMarketingDirector,1994/5/21,19296
165,mfqlzde,31,TaxAccountant,1993/2/12,14983
166,ctaqiy,30,BillingSupervisor,1994/1/18,18081
167,cmctyt,25,SalesManager,1999/6/28,5262
168,ekpjp,42,Salesperson,1982/10/17,5818
169,hrjioo,31,EmployerRelationsRepresentative,1993/10/12,5097
170,jymutarwf,30,ComputerOperationsSupervisor,1994/6/12,16870
171,aishclr,28,Vice-PresidentofAdministrationandFinance,1996/12/23,6220
172,kuntsryco,33,FileClerk,1991/1/3,18610
173,sfzfpbpao,41,RegionalManager,1983/2/27,9792
174,cumzsze,23,AdvertisingCoordinator,2001/10/23,7438
175,mtitu,39,FileClerk,1985/12/24,14065
176,hruh,38,Payroller,1986/12/19,10782
177,uauubfz,36,LoanAdministrator,1988/4/8,15087
178,znogfngem,44,SystemsAnalyst,1980/8/11,11660
179,sgldize,28,Salesperson,1996/7/15,10780
180,ixvz,21,ComputerOperator,2003/1/13,19397
181,qcfj,25,DirectorofInformationServices,1999/2/21,14634
182,pcnpmye,32,AccountsReceivableClerk,1992/9/4,14097
183,nbogobub,35,HardwareEngineer,1989/7/2,6416
184,vxdhvj,32,SalesExecutive,1992/6/20,16038
185,vodjsxk,24,HRDirector,2000/6/3,19192
186,wpoqnied,26,CreditManager,1998/7/22,18519
187,gpaeyqvl,38,Vice-PresidentofAdministration,1986/6/12,10132
188,nmavgd,37,PurchasingAgent,1987/5/23,6999
189,ukzc,23,FileClerk,2001/8/15,18723
190,wykchosp,32,Bookkeeper,1992/10/30,13362
191,aouudnjix,35,AccountsReceivableClerk,1989/10/5,13970
192,jcasqq,38,RegionalManager,1986/10/16,16679
193,aegf,35,LANAdministrator,1989/9/30,8807
194,zaxqppk,25,MISManager,1999/9/3,9292
195,ttaupngjs,21,Operator,2003/2/18,6922
196,jkpjteoak,44,TaxAccountant,1980/3/24,17594
197,grdjpgags,25,AdvertisingAssistant,1999/7/31,18600
198,cxzuaxs,40,ActuarialAnalyst,1984/12/21,14703
199,wsjpi,33,SalesAssistant,1991/9/4,12463
200,mopsqho,33,Tele-Interviewer,1991/12/3,5446
201,kzqu,22,BillingSupervisor,2002/5/11,15778
202,ksxmnkq,41,BenefitsCoordinator,1983/3/20,6834
203,cgvkt,28,ProductSupportManager,1996/11/5,7244
204,ebvmqcyvk,23,OfficeManager,2001/11/15,16292
205,jbplazxby,25,ProductionManager,1999/8/17,10143
206,lmovdf,38,Salesperson,1986/7/17,13571
207,ufdz,24,MarketingIntern,2000/12/4,18034
208,kquviu,26,ProjectManager,1998/12/30,5298
209,golaz,42,AccountingAssistant,1982/10/8,16987
210,uywdo,44,MerchandisingManager,1980/1/20,10718
211,jbeddnku,43,ComputerTechnician,1981/5/27,12857
212,jkkv,44,AdvertisingAssistant,1980/4/29,9240
213,fmpltaj,31,BillingClerk,1993/2/15,16016
214,iwyfekqv,22,AccountRepresentative,2002/2/20,8018
215,fpwgvxlrw,34,ComputerOperationsSupervisor,1990/3/23,17664
216,cdnxg,35,Vice-President,1989/4/4,7905
217,dgjknvsd,30,Vice-PresidentofAdministration,1994/3/5,13928
218,gvpm,25,AuditManager,1999/6/12,7837
219,xjlavkgby,24,AccountingManager,2000/10/25,18527
220,kcylxbgs,37,ComputerOperationsSupervisor,1987/1/31,7097
221,rahcx,27,President,1997/11/21,8883
222,qjunwutu,33,ExecutiveMarketingDirector,1991/4/15,10505
223,bnssqm,24,HRSupervisor(Training),2000/11/18,17397
224,jkzedcp,34,AssistantAccountExecutive,1990/8/8,16516
225,pleugo,28,PurchasingAgent,1996/5/16,19204
226,kjyq,43,BillingClerk,1981/9/13,18707
227,tcusi,35,MISManager,1989/1/3,17673
228,rckml,22,MISManager,2002/3/27,7391
229,pvtxngrkk,29,AdvertisingCoordinator,1995/10/29,16125
230,usjogszo,38,ManagerofNetworkAdministration,1986/1/31,11635
231,zjmr,28,ProductionManager,1996/6/14,8473
232,iaqurek,39,SeniorAccountant,1985/3/23,5741
233,crmsth,44,ProductionManager,1980/2/12,18721
234,nzbe,35,GeneralOfficeClerk,1989/4/30,18069
235,xhok,44,VPHR,1980/6/10,7410
236,ljvny,24,SalesAssistant,2000/2/19,19922
237,unyl,38,AccountRepresentative,1986/1/13,18670
238,ixzrafq,44,ProductManager,1980/1/13,15441
239,vtvydxhhz,25,AssistantAccountExecutive,1999/8/24,19118
240,sncepgggu,36,SeniorAccountManager,1988/3/4,13664
241,iqumaneln,38,Payroller,1986/7/2,6273
242,btciiclp,29,FinancialAnalyst,1995/3/9,11400
243,amcf,41,AdvertisingAssistant,1983/8/20,6599
244,ptbyjw,21,TransportationManager,2003/11/18,13588
245,dcmd,39,AccountingAssistant,1985/12/18,10171
246,fvmgbl,29,SeniorAccountManager,1995/8/2,17280
247,ocwutg,40,ApplicationsProgrammer,1984/10/29,12645
248,npwokf,43,MarketingConsultant,1981/11/20,5207
249,uaux,29,EmployerRelationsRepresentative,1995/9/24,18336
250,agfn,38,AccountRepresentative,1986/1/11,18445
251,gfuxku,22,ChiefFinancialOfficer,2002/12/19,13834
252,yrotah,27,Salesperson,1997/11/24,7333
253,ecbq,21,Auditor,2003/3/20,19587
254,qigptf,21,RetailBuyer,2003/9/3,16672
255,nvxjdenyy,40,HRSupervisor(Training),1984/9/19,19348
256,awvwcrmev,44,Vice-PresidentofAdministration,1980/12/30,8319
257,lqhi,42,MerchandisingManager,1982/1/20,14590
258,fzoin,42,AccountingAssistant,1982/5/9,12682
259,wduacxzkd,33,AdvertisingAssistant,1991/6/18,15236
260,ovjmctbb,42,VPSales,1982/7/9,11179
261,ruopc,41,ManagementAccountant,1983/3/8,16446
262,sirsize,38,BranchManager,1986/6/18,6914
263,vkcand,23,MarketingDirector,2001/7/4,19628
264,zbnumzv,35,FinancialPlanner,1989/1/30,8595
265,epmmolv,35,HardwareEngineer,1989/6/3,18148
266,vopjsep,40,MarketResearchAnalyst,1984/3/19,10090
267,yzbby,22,TrainingCoordinator,2002/9/30,11980
268,lbmugmpd,41,FinancialAnalyst,1983/11/1,12592
269,deykkwgh,31,Bookkeeper,1993/6/30,13858
270,yuffpqq,23,PurchasingAgent,2001/9/27,12354
271,gkhjpm,40,AccountRepresentative,1984/8/14,17603
272,svpz,22,AssistantVP,2002/7/21,12654
273,eyoa,23,RetailBuyer,2001/8/14,5484
274,rgkfanhyr,23,MISManager,2001/6/15,8808
275,zaxjzjj,37,ComputerTechnician,1987/3/26,6982
276,eifnp,26,AccountingPayableClerk,1998/4/18,19049
277,vsymydm,30,TelemarketingDirector,1994/9/20,9622
278,fmylxu,38,AccountingAssistant,1986/6/7,7053
279,fxuh,22,AccountingPayableClerk,2002/11/7,18653
280,iodf,24,AccountingManager,2000/5/28,19138
281,ksfsbdyh,22,AdministrationAssistant,2002/6/15,13099
282,wxpzcdzt,42,FinancialPlanner,1982/5/6,10227
283,vhodin,41,VPMarketing,1983/9/1,10337
284,fruqe,41,BillingClerk,1983/9/7,9145
285,xwfzq,43,AdvertisingCoordinator,1981/6/28,8928
286,ozccwvtdg,40,TrainingManager,1984/3/19,15485
287,bauskmf,41,FinancialPlanner,1983/8/28,8774
288,bdcwu,24,SalesExecutive,2000/4/17,17384
289,nchbjgs,25,AccountManager,1999/6/3,11393
290,pykxixwx,32,MarketingIntern,1992/2/16,18208
291,klwply,43,Typist,1981/10/26,7972
292,rhrivjhy,24,ComputerOperationsSupervisor,2000/7/20,11726
293,hfefu,28,AuditManager,1996/10/21,17974
294,melmz,34,BranchManager,1990/2/15,18382
295,repkbyw,30,TransportationManager,1994/5/8,15069
296,rdwrsc,31,VPHR,1993/12/25,15267
297,uqrvjk,29,ApplicationsProgrammer,1995/1/31,11541
298,zajcewkv,44,VPSales,1980/10/9,12080
299,afrk,44,RegionalManager,1980/5/9,9181
300,fqexkujdu,32,BillingClerk,1992/4/11,19361
301,grkrbpe,22,LoanAdministrator,2002/4/13,13570
302,coev,41,MISManager,1983/2/2,9052
303,dzelbg,32,SystemsAnalyst,1992/4/24,10762
304,vwlu,32,ProductManager,1992/3/9,17432
305,guhjcinbg,26,GeneralOfficeClerk,1998/6/26,16575
306,dxcoshjpp,37,AccountingPayableClerk,1987/11/8,18449
307,fpip,27,SalesAssistant,1997/2/8,9252
308,hxsxblb,43,ApplicationsProgrammer,1981/9/16,18661
309,ikxfv,31,BudgetAnalyst,1993/12/13,18772
310,rvbaksxbl,32,AccountingManager,1992/4/8,17620
311,gzmvainno,44,CertifiedPublicAccountant,1980/9/7,8555
312,dsigqephf,24,FileClerk,2000/1/1,9879
313,nxddvattc,31,AdvertisingManager,1993/2/27,16196
